image_name,ocr_text,source_file
training_image_20260318_173627.jpg,うん？なんじゃ？,zelda_translator_working_nlp.py
training_image_20260318_173641.jpg,のう…・お主,zelda_translator_working_nlp.py
training_image_20260318_173642.jpg,どこか行くところが あるんじゃないかの？,zelda_translator_working_nlp.py
training_image_20260318_173704.jpg,のう…・お主 どこか行くところが あるんじゃないかの？,zelda_translator_working_nlp.py
training_image_20260318_173708.jpg,どこか行くところが あるんじゃないかの？,zelda_translator_working_nlp.py
training_image_20260318_173709.jpg,のう…・・お主 どこか行くところが あるんじゃないかの？,zelda_translator_working_nlp.py
training_image_20260318_173710.jpg,どこか行くところが あるんじゃないかの？,zelda_translator_working_nlp.py
training_image_20260318_173959.jpg,のう…・お主 どこか行くところが あるんじゃないかの？,zelda_translator_working_nlp.py
training_image_20260318_174000.jpg,どこか行くところが あるんじゃないかの？,zelda_translator_working_nlp.py
training_image_20260318_174007.jpg,うん？なんじゃ？,zelda_translator_working_nlp.py
training_image_20260318_174013.jpg,たき火に ゆっくりあたって また焼きリンゴでも こしらえるとするかのう,zelda_translator_working_nlp.py
training_image_20260318_174807.jpg,たき火に ゆっくりあたって また 焼きリンゴでも こしらえるとするかのう,zelda_translator_av_reading_match.py
training_image_20260318_174909.jpg,たき火に ゆっくりあたって また 焼きリンゴでも こしらえるとするかのう,zelda_translator_av_reading_match.py
training_image_20260318_175216.jpg,たき火に ゆっくりあたって また 焼きリンゴでも こしらえるとするかのう,zelda_translator_av_reading_match.py
training_image_20260318_182021.jpg,揺れに注意して下さい,zelda_translator_av_reading_match.py
training_image_20260318_182139.jpg,周辺のマップ情報の入手を開始します,zelda_translator_av_reading_match.py
training_image_20260318_182220.jpg,周辺のマッブが追加されました,zelda_translator_av_reading_match.py
training_image_20260318_182308.jpg,この怪物が 本当の力を取り戻した時,zelda_translator_av_reading_match.py
training_image_20260318_182442.jpg,いやはや…・・,zelda_translator_av_reading_match.py
training_image_20260318_182443.jpg,いやはや・・・おどろいたわい,zelda_translator_av_reading_match.py
training_image_20260318_182515.jpg,大地から 次々と 塔が姿を現しおった・,zelda_translator_av_reading_match.py
training_image_20260318_182944.jpg,おそらく・・,zelda_translator_av_reading_match.py
training_image_20260318_182946.jpg,おそらく・・・このハイラルの大地に眠っていた 力が呼び覚まされたのだ,zelda_translator_av_reading_match.py
training_image_20260318_182947.jpg,して…・,zelda_translator_av_reading_match.py
training_image_20260318_182948.jpg,して 塔の上はどうであった？,zelda_translator_av_reading_match.py
training_image_20260318_182953.jpg,ほう・・・,zelda_translator_av_reading_match.py
training_image_20260318_182955.jpg,ほう… 城の方から 声が聞こえたとな,zelda_translator_av_reading_match.py
training_image_20260318_183001.jpg,お主はその声に 心当たりはないのか？,zelda_translator_av_reading_match.py
training_image_20260318_183004.jpg,…そうか,zelda_translator_av_reading_match.py
training_image_20260318_183006.jpg,…そうか それは 何とも 心苦しいのう,zelda_translator_av_reading_match.py
training_image_20260318_183033.jpg,お主も 見たであろう おんねんかたまり あの城を包み込む 禍々しい恐念の塊を・・・,zelda_translator_av_reading_match.py
training_image_20260318_183042.jpg,あれの名は…・,zelda_translator_av_reading_match.py
training_image_20260318_183131.jpg,今から年前・・・,zelda_translator_av_reading_match.py
training_image_20260318_183133.jpg,今から年前・・・この地にあった国 ハイラル王国を滅亡させた 元じゃ,zelda_translator_av_reading_match.py
training_image_20260318_183146.jpg,突如として現れた ヤツによって 街は破壊され 多くの民たちの命が奪われた,zelda_translator_av_reading_match.py
